Make,Fuel_Type,Model,Variant,Unnamed: 0,Ex-Showroom_Price,Cylinders,Valves_Per_Cylinder,Doors,Gears,Power,Torque,Tripmeter,Seating_Capacity,Wheels_Size,12v_Power_Outlet,Number_of_Airbags,Compression_Ratio,USB_Ports
Maruti Suzuki,Petrol,Ignis,Delta 1.2 Amt,72,607841,4.0,4.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0
Maruti Suzuki,Petrol,Ignis,Delta 1.2 Mt,73,560841,4.0,4.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0
Maruti Suzuki,Petrol,Ignis,Sigma 1.2 Mt,74,483320,4.0,4.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0
Maruti Suzuki,Petrol,Ignis,Zeta 1.2 Amt,75,630320,4.0,4.0,5.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,2.0,0.0,0.0
Maruti Suzuki,Petrol,Ignis,Zeta 1.2 Mt,76,583320,4.0,4.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0
Renault,Petrol,Triber,Rxe,77,495000,3.0,4.0,5.0,5.0,0.0,0.0,2.0,7.0,0.0,1.0,2.0,0.0,0.0
Renault,Petrol,Triber,Rxl,78,559000,3.0,4.0,5.0,5.0,0.0,0.0,2.0,7.0,0.0,1.0,2.0,0.0,0.0
Renault,Petrol,Triber,Rxt,79,609000,3.0,4.0,5.0,5.0,0.0,0.0,2.0,7.0,0.0,1.0,2.0,0.0,0.0
Renault,Petrol,Triber,Rxz,80,663000,3.0,4.0,5.0,5.0,0.0,0.0,2.0,7.0,0.0,0.0,4.0,0.0,0.0
Premier,Petrol,Rio,Gx,81,506000,4.0,4.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
Premier,Diesel,Rio,Ex,82,568623,4.0,4.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
Premier,Petrol,Rio,Glx,83,670000,4.0,4.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
Premier,Diesel,Rio,Dx,84,603000,4.0,4.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
Premier,Diesel,Rio,Lx,85,739000,4.0,4.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
Premier,Diesel,Rio,Crdi4,86,739000,4.0,4.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
Toyota,Petrol,Etios Liva,G,87,520300,4.0,4.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0
Toyota,Petrol,Etios Liva,V,88,581000,4.0,4.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0
Toyota,Diesel,Etios Liva,Gd,89,647800,4.0,2.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0
Toyota,Petrol,Etios Liva,Vx,90,630000,4.0,4.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0
Toyota,Diesel,Etios Liva,Vxd,91,745000,4.0,2.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0
Toyota,Diesel,Etios Liva,Vd,92,704000,4.0,2.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0
Toyota,Petrol,Etios Liva,Dual Tone V,93,597700,4.0,4.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0
Toyota,Diesel,Etios Liva,Dual Tone Vd,94,720700,4.0,2.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0
Toyota,Petrol,Etios Liva,Dual Tone Vx,95,641700,4.0,4.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0
Toyota,Diesel,Etios Liva,Dual Tone Vxd,96,756700,4.0,2.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0
Toyota,Petrol,Etios Liva,Gx,97,558400,4.0,4.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0
Toyota,Diesel,Etios Liva,Gxd,98,686000,4.0,2.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0
Toyota,Petrol,Etios Liva,Vx Dual Tone Limited Edition,99,662700,4.0,4.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0
Toyota,Diesel,Etios Liva,Vxd Dual Tone Limited Edition,100,777700,4.0,2.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0
Nissan,Petrol,Micra Active,Xl,101,525021,3.0,12.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0
Nissan,Petrol,Micra Active,Xv,102,599950,3.0,4.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0
Nissan,Petrol,Micra Active,Xl (O),103,563133,3.0,12.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0
Tata,Diesel,Bolt,Xt Diesel,104,787980,4.0,4.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0
Tata,Diesel,Bolt,Xe Diesel,105,661111,4.0,4.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
Tata,Diesel,Bolt,Xm Diesel,106,693798,4.0,4.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
Tata,Diesel,Bolt,Xms Diesel,107,719661,4.0,4.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0
Tata,Petrol,Bolt,Xt Petrol,108,674960,4.0,4.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,1.0,2.0,0.0,0.0
Tata,Petrol,Bolt,Xe Petrol,109,529035,4.0,4.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
Tata,Petrol,Bolt,Xm Petrol,110,590268,4.0,4.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
Tata,Petrol,Bolt,Xms Petrol,111,614515,4.0,4.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0
Hyundai,CNG + Petrol,Xcent Prime,Cng T + (Cng +,112,556130,4.0,4.0,4.0,5.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0
Hyundai,Petrol,Xcent Prime,T,113,536859,4.0,4.0,4.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
Hyundai,Petrol,Xcent Prime,T+,114,556130,4.0,4.0,4.0,5.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0
Hyundai,CNG + Petrol,Xcent Prime,Cng T (Cng +,115,536859,4.0,4.0,4.0,5.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0
Hyundai,Diesel,Xcent Prime,T+ Crdi,116,639616,4.0,4.0,4.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0
Hyundai,Diesel,Xcent Prime,T Crdi,117,620297,4.0,4.0,4.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0
Maruti Suzuki,Diesel,Dzire Tour,Ldi,118,653523,4.0,4.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
Maruti Suzuki,Petrol,Dzire Tour,Lxi,119,553423,4.0,4.0,4.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
Maruti Suzuki,CNG,Dzire Tour,Lxi Cng,120,598940,4.0,4.0,4.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
Hyundai,Petrol,Elite I20,Era 1.2,121,559693,4.0,4.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0
Hyundai,Diesel,Elite I20,Era 1.4 Crdi,122,697803,4.0,4.0,5.0,6.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0
Hyundai,Petrol,Elite I20,Magna Plus,123,634950,4.0,4.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0
Hyundai,Diesel,Elite I20,Magna Plus Crdi,124,770803,4.0,4.0,5.0,6.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0
Hyundai,Petrol,Elite I20,Sportz Plus,125,721693,4.0,4.0,5.0,5.0,0.0,0.0,2.0,5.0,0.0,0.0,2.0,0.0,0.0
Hyundai,Diesel,Elite I20,Sportz Plus Crdi Dual Tone,126,876103,4.0,4.0,5.0,6.0,0.0,0.0,2.0,5.0,0.0,0.0,2.0,0.0,0.0
Hyundai,Petrol,Elite I20,Asta (O) 1.2,127,808993,4.0,4.0,5.0,5.0,0.0,0.0,2.0,5.0,0.0,0.0,6.0,0.0,0.0
Hyundai,Diesel,Elite I20,Asta (O) Crdi,128,934003,4.0,4.0,5.0,6.0,0.0,0.0,2.0,5.0,0.0,0.0,6.0,0.0,0.0
Hyundai,Petrol,Elite I20,Asta (O) Cvt,129,920993,4.0,4.0,5.0,5.0,0.0,0.0,2.0,5.0,0.0,0.0,2.0,0.0,0.0
Hyundai,Petrol,Elite I20,Sportz Plus Dual Tone,130,751693,4.0,4.0,5.0,5.0,0.0,0.0,2.0,5.0,0.0,0.0,2.0,0.0,0.0
Hyundai,Petrol,Elite I20,Sportz Plus Cvt,131,831693,4.0,4.0,5.0,5.0,0.0,0.0,2.0,5.0,0.0,0.0,2.0,0.0,0.0
Hyundai,Diesel,Elite I20,Sportz Plus Crdi,132,846103,4.0,4.0,5.0,6.0,0.0,0.0,2.0,5.0,0.0,0.0,2.0,0.0,0.0
Hyundai,Petrol,Aura,E 1.2 Petrol,133,579900,0.0,0.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0
Hyundai,Petrol,Aura,S 1.2 Petrol,134,655900,0.0,0.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0
Hyundai,Petrol,Aura,S 1.2 Amt Petrol,135,705800,0.0,0.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0
Hyundai,Petrol,Aura,Sx 1.2 Petrol,136,729900,0.0,0.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0
Hyundai,Petrol,Aura,Sx Plus 1.2 Amt Petrol,137,804800,0.0,0.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0
Hyundai,Petrol,Aura,Sx (O) 1.2 Petrol,138,785900,0.0,0.0,5.0,5.0,0.0,0.0,2.0,5.0,0.0,0.0,2.0,0.0,0.0
Hyundai,CNG + Petrol,Aura,S 1.2 Cng Petrol (Cng +,139,728900,0.0,0.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0
Hyundai,Petrol,Aura,Sx Plus 1.0 Petrol,140,854900,0.0,0.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0
Hyundai,Diesel,Aura,S 1.2 Diesel,141,773800,0.0,0.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0
Hyundai,Diesel,Aura,S 1.2 Amt Diesel,142,823700,0.0,0.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0
Hyundai,Diesel,Aura,Sx Plus 1.2 Amt Diesel,143,922700,0.0,0.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0
Hyundai,Diesel,Aura,Sx (O) 1.2 Diesel,144,903800,0.0,0.0,5.0,5.0,0.0,0.0,2.0,5.0,0.0,0.0,2.0,0.0,0.0
Volkswagen,Petrol,Polo,Trendline 1.0L (P),145,582000,3.0,4.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0
Volkswagen,Petrol,Polo,Comfortline 1.0 (P),146,676500,3.0,4.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0
Volkswagen,Petrol,Polo,Highline Plus 1.0 (P),147,776500,3.0,4.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0
Volkswagen,Diesel,Polo,Trendline 1.5L (D),148,734500,4.0,4.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0
Volkswagen,Diesel,Polo,Comfortline 1.5 (D),149,851500,4.0,4.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0
Volkswagen,Diesel,Polo,Highline Plus 1.5 (D),150,931500,4.0,4.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0
Volkswagen,Petrol,Polo,Gt Tsi,151,976000,4.0,4.0,5.0,7.0,0.0,0.0,2.0,5.0,0.0,0.0,2.0,0.0,0.0
Volkswagen,Diesel,Polo,Gt Tdi,152,988500,4.0,4.0,5.0,5.0,0.0,0.0,2.0,5.0,0.0,0.0,2.0,0.0,0.0
Maruti Suzuki,Petrol,Dzire,Lxi,153,582613,4.0,4.0,4.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0
Maruti Suzuki,Petrol,Dzire,Vxi,154,673112,4.0,4.0,4.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0
Maruti Suzuki,Diesel,Dzire,Ldi,155,666622,4.0,4.0,4.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0
Maruti Suzuki,Petrol,Dzire,Zxi,156,732113,4.0,4.0,4.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0
Maruti Suzuki,Diesel,Dzire,Vdi,157,757622,4.0,4.0,4.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0
Maruti Suzuki,Petrol,Dzire,Vxi Amt,158,720112,4.0,4.0,4.0,4.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0
Maruti Suzuki,Diesel,Dzire,Zdi Amt,159,863122,4.0,4.0,4.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0
Maruti Suzuki,Diesel,Dzire,Zdi,160,816622,4.0,4.0,4.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0
Maruti Suzuki,Petrol,Dzire,Zxi Plus,161,821613,4.0,4.0,4.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0
Maruti Suzuki,Petrol,Dzire,Zxi At,162,779113,4.0,4.0,4.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0
Maruti Suzuki,Petrol,Dzire,Zxi Plus Amt,163,868613,4.0,4.0,4.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0
Maruti Suzuki,Diesel,Dzire,Zdi Plus,164,906122,4.0,4.0,4.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0
Maruti Suzuki,Diesel,Dzire,Vdi Amt,165,804622,4.0,4.0,4.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0
