Make,Fuel_Type,Model,Variant,Unnamed: 0,Ex-Showroom_Price,Cylinders,Valves_Per_Cylinder,Doors,Gears,Power,Torque,Tripmeter,Seating_Capacity,Wheels_Size,12v_Power_Outlet,Number_of_Airbags,Compression_Ratio,USB_Ports
Tata,Petrol,Nano Genx,Xt,0,292667,2.0,2.0,5.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
Tata,Petrol,Nano Genx,Xe,1,236447,2.0,2.0,5.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
Tata,CNG,Nano Genx,Emax Xm,2,296661,2.0,2.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
Tata,Petrol,Nano Genx,Xta,3,334768,2.0,2.0,5.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
Tata,Petrol,Nano Genx,Xm,4,272223,2.0,2.0,5.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
Tata,Petrol,Nano Genx,Xma,5,314815,2.0,2.0,5.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
Datsun,Petrol,Redi-Go,D,6,279650,3.0,4.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
Datsun,Petrol,Redi-Go,T,7,351832,3.0,4.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
Datsun,Petrol,Redi-Go,A,8,333419,3.0,4.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
Datsun,Petrol,Redi-Go,S,9,362000,3.0,4.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
Datsun,Petrol,Redi-Go,1.0 S,10,390000,3.0,4.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
Datsun,Petrol,Redi-Go,1.0 S Amt,11,437065,3.0,4.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
Renault,Petrol,Kwid,Rxe 0.8,12,353290,3.0,4.0,5.0,6.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0
Renault,Petrol,Kwid,Std 0.8,13,283290,3.0,4.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0
Renault,Petrol,Kwid,Rxl 0.8,14,383290,3.0,4.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0
Renault,Petrol,Kwid,Rxt 0.8,15,413290,3.0,4.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0
Renault,Petrol,Kwid,Rxt 1.0,16,433290,3.0,4.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0
Renault,Petrol,Kwid,Climber 1.0 Mt,17,454490,3.0,4.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0
Renault,Petrol,Kwid,Rxt Amt 1.0,18,463290,3.0,4.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0
Renault,Petrol,Kwid,Climber Amt 1.0,19,484490,3.0,4.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0
Renault,Petrol,Kwid,Rxt (O) 1.0,20,440990,3.0,4.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0
Renault,Petrol,Kwid,Rxt (O) Amt 1.0,21,470990,3.0,4.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0
Renault,Petrol,Kwid,Climber (O) Mt 1.0,22,462190,3.0,4.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0
Renault,Petrol,Kwid,Climber (O) Amt 1.0,23,492190,3.0,4.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0
Maruti Suzuki,Petrol,Eeco,5 Str,24,352136,4.0,4.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,9.9,0.0
Maruti Suzuki,Petrol,Eeco,7 Str,25,380573,4.0,4.0,5.0,5.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,9.9,0.0
Maruti Suzuki,Petrol,Eeco,5 Str With Ac+Htr,26,392967,4.0,4.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,9.9,0.0
Maruti Suzuki,CNG,Eeco,5 Str With Ac+Htr Cng,27,466057,4.0,4.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,9.9,0.0
Maruti Suzuki,CNG,Eeco,5 Str With Htr Cng,28,425255,4.0,4.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,9.9,0.0
Maruti Suzuki,Petrol,Alto K10,Lxi,29,377588,3.0,4.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0
Maruti Suzuki,Petrol,Alto K10,Vxi,30,394036,3.0,4.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0
Maruti Suzuki,Petrol,Alto K10,Lx,31,360843,3.0,4.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0
Maruti Suzuki,Petrol,Alto K10,Vxi (O),32,407238,3.0,4.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0
Maruti Suzuki,CNG,Alto K10,Lxi Cng (O),33,439777,3.0,4.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0
Maruti Suzuki,Petrol,Alto K10,Vxi Amt (O),34,438559,3.0,4.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0
Datsun,Petrol,Go,D,35,374990,3.0,4.0,5.0,5.0,0.0,0.0,2.0,5.0,0.0,0.0,2.0,0.0,0.0
Datsun,Petrol,Go,T,36,468229,3.0,4.0,5.0,5.0,0.0,0.0,2.0,5.0,0.0,0.0,2.0,0.0,0.0
Datsun,Petrol,Go,T (O),37,502492,3.0,4.0,5.0,5.0,0.0,0.0,2.0,5.0,0.0,0.0,2.0,0.0,0.0
Datsun,Petrol,Go,A (O),38,499990,3.0,4.0,5.0,5.0,0.0,0.0,2.0,5.0,0.0,0.0,2.0,0.0,0.0
Datsun,Petrol,Go,A,39,469990,3.0,4.0,5.0,5.0,0.0,0.0,2.0,5.0,0.0,0.0,2.0,0.0,0.0
Datsun,Petrol,Go,T Vdc,40,528464,3.0,4.0,5.0,5.0,0.0,0.0,2.0,5.0,0.0,0.0,2.0,0.0,0.0
Datsun,Petrol,Go,T (O) Vdc,41,553015,3.0,4.0,5.0,5.0,0.0,0.0,2.0,5.0,0.0,0.0,2.0,0.0,0.0
Datsun,Petrol,Go,T Cvt,42,594464,3.0,4.0,5.0,5.0,0.0,0.0,2.0,5.0,0.0,0.0,2.0,0.0,0.0
Datsun,Petrol,Go,T (O) Cvt,43,618015,3.0,4.0,5.0,5.0,0.0,0.0,2.0,5.0,0.0,0.0,2.0,0.0,0.0
Maruti Suzuki,Petrol,Celerio Tour,H2,44,422444,3.0,4.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0
Maruti Suzuki,CNG,Celerio Tour,H2 Cng,45,480670,3.0,4.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0
Hyundai,Petrol,Santro,Era Mt,46,429990,4.0,4.0,4.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0
Hyundai,Petrol,Santro,Magna Mt,47,503990,4.0,4.0,4.0,5.0,0.0,0.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0
Hyundai,CNG,Santro,Magna Mt Cng,48,547990,4.0,4.0,4.0,5.0,0.0,0.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0
Hyundai,Petrol,Santro,Magna Amt,49,530990,4.0,4.0,4.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0
Hyundai,Petrol,Santro,Sportz Mt,50,512990,4.0,4.0,4.0,5.0,0.0,0.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0
Hyundai,CNG,Santro,Sportz Mt Cng,51,578990,4.0,4.0,4.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0
Hyundai,Petrol,Santro,Sportz Amt,52,570990,4.0,4.0,4.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0
Hyundai,Petrol,Santro,Asta Mt,53,556490,4.0,4.0,4.0,5.0,0.0,0.0,0.0,5.0,0.0,1.0,2.0,0.0,0.0
Tata,Petrol,Tiago,Revotron Xe,54,460000,3.0,4.0,5.0,5.0,0.0,0.0,2.0,5.0,0.0,0.0,2.0,0.0,0.0
Tata,Petrol,Tiago,Revotron Xt,55,520000,3.0,4.0,5.0,5.0,0.0,0.0,2.0,5.0,0.0,0.0,2.0,0.0,0.0
Tata,Petrol,Tiago,Revotron Xz,56,570000,3.0,4.0,5.0,5.0,0.0,0.0,2.0,5.0,0.0,0.0,2.0,0.0,0.0
Tata,Petrol,Tiago,Revotron Xz Plus,57,599000,3.0,4.0,5.0,5.0,0.0,0.0,2.0,5.0,0.0,0.0,2.0,0.0,0.0
Tata,Petrol,Tiago,Revotron Xz Plus Dual Tone,58,610000,3.0,4.0,5.0,5.0,0.0,0.0,2.0,5.0,0.0,0.0,2.0,0.0,0.0
Tata,Petrol,Tiago,Revotron Xza,59,620000,3.0,4.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0
Tata,Petrol,Tiago,Revotron Xza Plus,60,649000,3.0,4.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0
Tata,Petrol,Tiago,Revotron Xza Plus Dual Tone,61,660000,3.0,4.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0
Maruti Suzuki,Petrol,Celerio X,Vxi (O),62,481074,3.0,4.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0
Maruti Suzuki,Petrol,Celerio X,Vxi,63,475198,3.0,4.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0
Maruti Suzuki,Petrol,Celerio X,Vxi Amt,64,518198,3.0,4.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0
Maruti Suzuki,Petrol,Celerio X,Vxi Amt (O),65,524074,3.0,4.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0
Maruti Suzuki,Petrol,Celerio X,Zxi,66,499734,3.0,4.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0
Maruti Suzuki,Petrol,Celerio X,Zxi (O),67,540350,3.0,4.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0
Maruti Suzuki,Petrol,Celerio X,Zxi Amt,68,542735,3.0,4.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0
Maruti Suzuki,Petrol,Celerio X,Zxi Amt (O),69,552350,3.0,4.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0
Maruti Suzuki,Petrol,Ignis,Alpha 1.2 Amt,70,713898,4.0,4.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0
Maruti Suzuki,Petrol,Ignis,Alpha 1.2 Mt,71,666898,4.0,4.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0
